VendorNumber,VendorName,Brand,Description,PurchasePrice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalFreightCost,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,GrossProfit,ProfitMargin,StockTurnOver,SaletoPurchaseRatio
8892,TRINCHERO FAMILY ESTATES,41034,Menage a Trois Red,5.26,750,8.99,54738,287921.88,11595.97,54744,509372.48,132593.95,6135.29,221450.6,43.4751795,1.000109613,1.769134322
1128,BROWN-FORMAN CORP,1545,Gentleman Jack,19.42,750,29.99,14785,287124.7,68601.68,14501,423808.99,253424.58,11423.39,136684.29,32.25138995,0.980791343,1.476045042
480,BACARDI USA INC,2665,Dewars White Label,15.38,750,19.99,18574,285668.12,89286.27,19088,400461.12,215262.61,15034.06,114793,28.66520475,1.027673091,1.401840429
1128,BROWN-FORMAN CORP,1770,Jack Daniels Tennessee Fire,26.42,1750,38.99,10746,283909.32,68601.68,10128,389506.72,233847.24,18613.13,105597.4,27.11054639,0.942490229,1.37194059
4425,MARTIGNETTI COMPANIES,6595,Bogle Merlot,4.48,750,6.95,63188,283082.24,144929.24,62368,502198.46,109537.96,6997.39,219116.22,43.63140022,0.987022852,1.774037326
1392,CONSTELLATION BRANDS INC,35472,R M Woodbridge Pnt Grigio,5.88,1500,8.99,47207,277577.16,79528.99,46764,469543.36,127217.47,10501,191966.2,40.8835938,0.990615799,1.691577794
8004,SAZERAC CO INC,5105,Dr McGillicuddy's Mentholmnt,14.81,1750,25.99,18007,266683.67,50293.62,17355,390990.45,199774.49,31890.83,124306.78,31.79279187,0.963791859,1.466120704
8004,SAZERAC CO INC,5153,Fireball Cinn Whisky Trav,10.44,750,15.99,25499,266209.56,50293.62,25465,381031.35,176397.61,20051.86,114821.79,30.13447319,0.998666614,1.431321061
3960,DIAGEO NORTH AMERICA INC,4368,Capt Morgan Private Stock,23.91,1750,32.99,11035,263846.85,257032.07,11114,379652.86,234036.58,20425.75,115806.01,30.5031312,1.007159039,1.438913749
3960,DIAGEO NORTH AMERICA INC,3488,Tanqueray,15.62,750,23.99,16740,261478.8,257032.07,16745,387588.55,216983.09,13188.29,126109.75,32.53701638,1.000298686,1.482294358
3960,DIAGEO NORTH AMERICA INC,8111,Smirnoff 80 Proof,0.77,50,0.99,337660,259998.2,257032.07,334939,331589.61,21424.59,17579.29,71591.41,21.59036587,0.991941598,1.275353483
6213,MHW LTD,5921,RumChata Liqueur,14.81,750,21.99,17419,257975.39,9621.58,17317,363394.83,188150.98,13638.27,105419.44,29.00961469,0.994144325,1.40864146
1392,CONSTELLATION BRANDS INC,40096,Black Box Cab Svgn,10.52,3000,16.99,24452,257235.04,79528.99,24253,443383.47,199192.95,10913.85,186148.43,41.98361973,0.991861606,1.72365114
