VendorNumber,VendorName,Brand,Description,PurchasePrice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalFreightCost,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,GrossProfit,ProfitMargin,StockTurnOver,SaletoPurchaseRatio
1655,FABRIZIA SPIRITS LLC,8793,Fabrizia's Margarita RTD,15.07,1750,18.99,6431,96915.17,1824.89,4916,94406.84,61495.98,9035.38,-2508.33,-2.656936722,0.764422329,0.974118293
12546,JIM BEAM BRANDS COMPANY,1249,Jim Beam Apple,20.28,1750,27.99,4777,96877.56,123880.97,4031,99189.69,73433.21,7409.91,2312.13,2.331018476,0.843835043,1.023866518
3960,DIAGEO NORTH AMERICA INC,2327,Crown Royal Shot Glass VAP,17.55,750,22.99,5495,96437.25,257032.07,5494,122173.06,60894.76,4326.58,25735.81,21.06504495,0.999818016,1.266865864
2496,DUGGANS DISTILLED PRODUCTS,1734,Duggans Dew O Kirkintilloch,17.45,1750,21.99,5526,96428.7,939.27,5007,109021.93,76770.77,9204.22,12593.23,11.55109802,0.906080347,1.130596285
8664,"STOLI GROUP,(USA) LLC",3689,Stolichnaya Vanil,12.77,750,16.99,7541,96298.57,18544.49,7506,135817.94,90804.03,5914.27,39519.37,29.09731218,0.995358706,1.410383768
12546,JIM BEAM BRANDS COMPANY,4679,Courvoisier VS Cognac,8.63,375,13.49,11158,96293.54,123880.97,10896,133127.04,69215.39,4276.89,36833.5,27.66793283,0.976519089,1.382512679
3960,DIAGEO NORTH AMERICA INC,1623,Bulleit 95 Rye,10.07,375,14.99,9542,96087.94,257032.07,9104,131243.96,86686.37,3570.25,35156.02,26.78677175,0.954097673,1.365873386
4425,MARTIGNETTI COMPANIES,523,Castello Del Poggio Moscato,7.09,750,10.49,13546,96041.14,144929.24,13022,130455.78,57271.34,1452.39,34414.64,26.38031063,0.961316994,1.358332273
8004,SAZERAC CO INC,5033,Fireball Cinnamon Whisky,12.97,1000,16.99,7402,96003.94,50293.62,6389,114938.11,62803.09,6708.45,18934.17,16.47336119,0.863145096,1.197222843
6785,PALM BAY INTERNATIONAL INC,44719,Cavit Prosecco Lunetta,6.89,750,9.99,13908,95826.12,13605.41,14860,151205.4,50648.21,1661.66,55379.28,36.62519989,1.068449813,1.577914247
1392,CONSTELLATION BRANDS INC,31231,Nobilo Svgn Bl MarlborougH,6.49,750,11.99,14753,95746.97,79528.99,14617,157501.83,58512.41,1633.12,61754.86,39.20897935,0.990781536,1.644979784
8112,MOET HENNESSY USA INC,2893,Glenmorangie Quinta Ruban,39.67,750,54.99,2410,95604.7,48347.26,2300,122300,102183.81,1814.2,26695.3,21.82771872,0.954356846,1.279225812
3960,DIAGEO NORTH AMERICA INC,2499,Crown Royal Black,21.53,750,29.99,4429,95356.37,257032.07,4262,122377.38,95100.93,3360.52,27021.01,22.08006905,0.962293972,1.283368694
98450,Serralles Usa LLC,4145,Don Q Cristal Rum,12.68,1750,19.99,7518,95328.24,856.02,7799,132505.01,83811.67,14334.04,37176.77,28.05687875,1.037376962,1.389986955
1587,VINEYARD BRANDS INC,31320,La Vieille Ferme Rose Vntoux,4.69,750,6.99,20314,95272.66,6070.09,19987,145815.63,46506.69,2236.41,50542.97,34.66224437,0.983902727,1.530508647
1392,CONSTELLATION BRANDS INC,6420,R M Woodbridge Chard Cal,3.18,750,7.99,29951,95244.18,79528.99,29537,171189.35,43943.59,3309.59,75945.17,44.36325624,0.986177423,1.797373341
8892,TRINCHERO FAMILY ESTATES,10957,Seaglass Svgn Bl Snt Barbara,6.12,750,8.99,15556,95202.72,11595.97,15576,145958.24,65577.02,1737.14,50755.52,34.77400111,1.001285678,1.533130986
17035,PERNOD RICARD USA,4628,Martell Cordon Bleu,79.99,750,104.99,1190,95188.1,123780.22,999,110015.01,52445.29,786.81,14826.91,13.47717007,0.839495798,1.155764323
4425,MARTIGNETTI COMPANIES,14930,Yellow Tail Moscato,5.93,1500,9.99,16029,95051.97,144929.24,15732,154020.92,69332.24,3523.22,58968.95,38.286325,0.981471084,1.620386405
1590,DIAGEO CHATEAU ESTATE WINES,8921,Sterling Cab Svgn,11.45,750,18.99,8288,94897.6,7259.75,8484,162549,74429.87,945.71,67651.4,41.61908102,1.023648649,1.712888419
9165,ULTRA BEVERAGE COMPANY LLP,24419,Bonterra Mendocino Org Chard,6.74,750,11.99,14077,94878.98,68054.7,13263,148890.37,63013.5,1479.54,54011.39,36.27594585,0.942175179,1.569266132
8112,MOET HENNESSY USA INC,8223,Dom Chandon Blanc de Noir C,10.36,750,13.99,9153,94825.08,48347.26,9247,139587.53,53285.14,7281.44,44762.45,32.06765676,1.010269857,1.472052858
9815,WINE GROUP INC,14342,Cupcake Pnt Nr,4.6,750,6.99,20592,94723.2,27100.41,18940,142812.6,53676.38,2115.77,48089.4,33.67307927,0.91977467,1.50768344
1392,CONSTELLATION BRANDS INC,6960,Cooks Brut,4.6,750,6.99,20550,94530,79528.99,19968,147959.32,42587.75,2236.23,53429.32,36.11081749,0.971678832,1.565210198
9552,M S WALKER INC,38457,Smoking Loon Pnt Nr,4.59,750,6.79,20576,94443.84,55551.82,18799,143160.21,48802.2,2102.49,48716.37,34.02926693,0.913637247,1.51582369
9819,TREASURY WINE ESTATES,8700,Beringer Knights Vly Cab Svg,16.52,750,31.99,5682,93866.64,14836.57,4961,137281.11,66637.45,552.67,43414.47,31.62450391,0.873108061,1.462512241
1128,BROWN-FORMAN CORP,1927,Jack Daniels Barrel Proof,51.84,750,69.99,1810,93830.4,68601.68,1359,89296.41,75888.45,1072,-4533.99,-5.077460561,0.750828729,0.95167888
17035,PERNOD RICARD USA,3457,Olmeca Altos Plata Tequila,22.38,1750,34.99,4187,93705.06,123780.22,4162,146813.38,111210.49,7651.02,53108.32,36.17403264,0.994029138,1.566760429
3924,HEAVEN HILL DISTILLERIES,3660,Deep Eddy Ruby Red Vodka,21.05,1750,27.99,4447,93609.35,14069.87,3875,100757.25,67247.19,7121.98,7147.9,7.094179327,0.87137396,1.076358825
4425,MARTIGNETTI COMPANIES,10236,Layer Cake Malbec Mendoza,7.81,750,14.99,11985,93602.85,144929.24,12944,178565.6,80862.05,1443.76,84962.75,47.58069303,1.080016688,1.90769405
17035,PERNOD RICARD USA,8184,Kahlua,1.55,50,1.99,60365,93565.75,123780.22,59842,119085.58,31366.38,3118.99,25519.83,21.42982383,0.991336039,1.27274756
6213,MHW LTD,8398,Casamigos Blanco,33.33,750,46.99,2803,93423.99,9621.58,2907,144663.93,107728.4,2291.86,51239.94,35.41998341,1.037103104,1.54846662
3960,DIAGEO NORTH AMERICA INC,8898,Yukon Jack,18.83,1750,25.99,4944,93095.52,257032.07,4910,127610.9,87716.25,9025.26,34515.38,27.04736037,0.993122977,1.37075232
3960,DIAGEO NORTH AMERICA INC,2476,Crown Royal Maple Whisky,16.79,750,22.99,5543,93066.97,257032.07,6614,157718.86,107038.31,5213.19,64651.89,40.99185728,1.19321667,1.694681368
3924,HEAVEN HILL DISTILLERIES,3863,Evan Williams Honey Reserve,15.5,1750,24.99,6003,93046.5,14069.87,5537,117859.63,83491.11,10177.72,24813.13,21.05312056,0.922372147,1.266674512
17035,PERNOD RICARD USA,3201,Plymouth Gin,21.96,750,29.99,4226,92802.96,123780.22,4142,124822.58,84819.88,3264.34,32019.62,25.65210557,0.980123048,1.345028003
1128,BROWN-FORMAN CORP,5297,Southern Comfort,10.76,750,13.99,8616,92708.16,68601.68,8010,115819.9,65972.66,6309.77,23111.74,19.95489549,0.929665738,1.249295639
516,BANFI PRODUCTS CORP,18347,Banfi Pnt Grigio San Angelo,8.58,750,14.99,10798,92646.84,8510.41,10202,156530.98,71506.63,1137.06,63884.14,40.8124577,0.944804593,1.689544727
4425,MARTIGNETTI COMPANIES,28856,Seghesio Znfdl Sonoma,11.45,750,19.99,8085,92573.25,144929.24,7099,148531.85,70874.51,790.82,55958.6,37.67447857,0.878045764,1.604479156
660,SAZERAC NORTH AMERICA INC.,2783,Lauders Scotch,10.06,1750,14.99,9191,92461.46,17932.33,9159,137384.41,79631.07,16831.57,44922.95,32.6987247,0.996518333,1.485855945
1392,CONSTELLATION BRANDS INC,3220,Svedka Clementine Vodka,14.72,1750,18.99,6272,92323.84,79528.99,5609,108114.91,75140.11,10309.53,15791.07,14.60582079,0.894292092,1.171040004
3252,E & J GALLO WINERY,34427,Frei Bros RSV Cab Svgn Alex,13.81,750,21.99,6685,92319.85,61966.91,5774,119405.58,65796.9,641.87,27085.73,22.6838059,0.863724757,1.2933901
12546,JIM BEAM BRANDS COMPANY,361,Effen Cucumber Vodka,14.28,750,19.99,6458,92220.24,123880.97,6292,132057.08,88348.26,4957.83,39836.84,30.16637957,0.974295448,1.43197502
9165,ULTRA BEVERAGE COMPANY LLP,18013,Cecchi Sangiovese,4.69,750,7.99,19643,92125.67,68054.7,19741,153620.59,55814.15,2206.73,61494.92,40.03038916,1.004989055,1.667511238
3960,DIAGEO NORTH AMERICA INC,8440,Bailey's Espresso Creme,14.72,750,18.99,6255,92073.6,257032.07,5692,115722.08,77717.91,4485.55,23648.48,20.43558152,0.909992006,1.256843221
660,SAZERAC NORTH AMERICA INC.,5367,Sambuca di Amore,5.83,750,9.99,15786,92032.38,17932.33,15699,146209.51,70905.96,12361.37,54177.13,37.05445015,0.994488788,1.58867466
480,BACARDI USA INC,1330,Grey Goose Glass Pack,38.27,1750,49.99,2403,91962.81,89286.27,2690,136831.1,59877.29,4943.32,44868.29,32.79100292,1.119434041,1.487896031
1128,BROWN-FORMAN CORP,405,Jack Daniels & Coke,28.45,1750,36.99,3232,91950.4,68601.68,3235,120414.65,50068.56,5944.14,28464.25,23.63852737,1.000928218,1.309560915
9165,ULTRA BEVERAGE COMPANY LLP,32831,Carpineto Dogajolo Tuscan Rd,6.75,750,11.99,13610,91867.5,68054.7,16312,181998.88,74581.79,1820.83,90131.38,49.52304102,1.198530492,1.981101913
3252,E & J GALLO WINERY,11957,Souverain Cab Svgn N Cst,9.93,750,14.99,9246,91812.78,61966.91,9185,110650.75,56664.55,1022.48,18837.97,17.02471063,0.993402552,1.205178081
8664,"STOLI GROUP,(USA) LLC",3487,Stolichnaya Blueberi,12.77,750,16.99,7187,91777.99,18544.49,7122,130139.78,89081.33,5611.81,38361.79,29.47737425,0.990955893,1.417984639
1128,BROWN-FORMAN CORP,62,Herradura Silver Tequila,28.67,750,36.99,3200,91744,68601.68,3125,119863.75,90154.51,2463.18,28119.75,23.4597616,0.9765625,1.306502333
17035,PERNOD RICARD USA,22019,Mumm Napa Brut Rose,9.73,750,14.99,9424,91695.52,123780.22,9803,167619.57,72758.61,1093.66,75924.05,45.29545685,1.040216469,1.828001739
2242,DELICATO VINEYARDS INC,44334,Noble Vines 337 Cab Svgn,7.84,750,11.99,11671,91500.64,7982.65,11622,142137.78,61009.45,1296.41,50637.14,35.62539108,0.995801559,1.553407495
3252,E & J GALLO WINERY,7716,Andre Brut,3.79,750,5.99,24130,91452.7,61966.91,23971,140239.79,34153.77,2686.98,48787.09,34.78833646,0.993410692,1.533468011
1587,VINEYARD BRANDS INC,8018,La Vieille Ferme Red Ventoux,4.6,750,6.99,19854,91328.4,6070.09,19622,141699.28,41103.32,2196.06,50370.88,35.54773179,0.988314697,1.551535776
12546,JIM BEAM BRANDS COMPANY,1397,Jim Beam Kentucky Fire,10.76,750,16.99,8484,91287.84,123880.97,8220,122786.3,87668.31,6478.12,31498.46,25.65307367,0.968882603,1.345045518
2561,EDRINGTON AMERICAS,2522,The Macallan 10 Yr Fine Oak,36.92,750,47.99,2466,91044.72,9654.5,2336,117841.64,95408.1,1842.27,26796.92,22.73977178,0.947283049,1.294327008
3252,E & J GALLO WINERY,16806,Apothic Winemakers White,5.3,750,9.99,17166,90979.8,61966.91,16757,147400.08,59058.71,1871.29,56420.28,38.27696701,0.976173832,1.620140735
3960,DIAGEO NORTH AMERICA INC,4390,Ron Zacapa 23 Yr Old Rum,33.33,750,45.99,2721,90690.93,257032.07,2627,117983.73,92277.48,2071.12,27292.8,23.13268109,0.965453877,1.300942994
6213,MHW LTD,5221,RumChata Liqueur,8.59,375,11.99,10557,90684.63,9621.58,10355,122543.95,75001.14,4063.01,31859.32,25.99828062,0.980865776,1.351319954
3924,HEAVEN HILL DISTILLERIES,4382,Admiral Nelson Spiced Rum,10.44,1750,13.99,8686,90681.84,14069.87,8561,122358.39,66565.83,15732.31,31676.55,25.88833508,0.985609026,1.349315254
1392,CONSTELLATION BRANDS INC,2117,Black Velvet Traveler,5.88,750,8.99,15415,90640.2,79528.99,15292,129924.08,87257.53,12047.21,39283.88,30.23602707,0.992020759,1.433404604
1128,BROWN-FORMAN CORP,8910,Finlandia Vodka,0.77,50,0.99,117443,90431.11,68601.68,116112,114950.88,15089.58,6087.7,24519.77,21.3306501,0.988666843,1.271143083
11567,CAMPARI AMERICA,3515,Skyy Infusions Citrus Vodka,15.5,1750,19.99,5821,90225.5,20964.81,5974,121365.26,83154.21,10980.06,31139.76,25.65788596,1.026284144,1.345132584
8150,SEA HAGG DISTILLERY LLC,3598,Ice Pik Vodka,10.21,750,13.99,8830,90154.3,935.52,7884,106611.16,51258.2,6209.58,16456.86,15.43633893,0.892865232,1.182541044
8004,SAZERAC CO INC,3899,Platinum 7X Distilled Vodka,2.2,375,2.99,40916,90015.2,50293.62,40782,162720.18,62275.92,16036.49,72704.98,44.68098548,0.996724998,1.8076967
1392,CONSTELLATION BRANDS INC,6647,Estancia Chard,4.99,750,8.99,18021,89924.79,79528.99,18847,163534.03,56577.51,2107.74,73609.24,45.01157343,1.045835414,1.818564492
1392,CONSTELLATION BRANDS INC,6938,Vendange Chard,4.69,1500,9.99,19157,89846.33,79528.99,18819,150520.81,55724.6,4223.37,60674.48,40.30969538,0.982356319,1.67531395
8004,SAZERAC CO INC,5297,Southern Comfort,10.76,750,13.99,8334,89673.84,50293.62,8807,123209.93,67040.08,6937.11,33536.09,27.21865843,1.05675546,1.37397852
8004,SAZERAC CO INC,5296,Southern Comfort 100 Proof,21.01,1750,28.99,4262,89544.62,50293.62,3448,99957.52,68793.27,6337.64,10412.9,10.41732528,0.809009855,1.116287277
9552,M S WALKER INC,3041,Zhenka Pink Lemonade Vodka,5.83,1750,9.99,15351,89496.33,55551.82,15317,140309.83,58415.63,28145.59,50813.5,36.2152103,0.997785161,1.567771885
3924,HEAVEN HILL DISTILLERIES,5165,Hpnotiq Liqueur,13.33,750,19.99,6713,89484.29,14069.87,6594,126652.06,91046.62,5196.92,37167.77,29.34636041,0.982273201,1.415355254
17035,PERNOD RICARD USA,3584,Absolut Raspberri,12.49,750,16.99,7164,89478.36,123780.22,7178,126690.22,93176.25,5657.63,37211.86,29.3723225,1.001954216,1.415875526
3252,E & J GALLO WINERY,8189,Camarena Silver Tequila,25.59,1750,31.99,3490,89309.1,61966.91,4279,136885.21,102112.08,7866.39,47576.11,34.75620924,1.226074499,1.532712904
3960,DIAGEO NORTH AMERICA INC,3820,Smirnoff Citrus Vodka,13.33,1750,22.99,6699,89297.67,257032.07,6719,138642.81,95962.61,12350.25,49345.14,35.59156079,1.00298552,1.552591574
9819,TREASURY WINE ESTATES,39146,Matua Svgn Bl Marlboro,6.53,750,9.99,13672,89278.16,14836.57,13573,157800.27,60797.2,1516.23,68522.11,43.42331607,0.992758923,1.76751257
4425,MARTIGNETTI COMPANIES,42874,Decoy by Duckhorn Red Sonoma,11.38,750,21.99,7835,89162.3,144929.24,7259,137588.81,61867.19,809.38,48426.51,35.19654687,0.926483727,1.543127645
12546,JIM BEAM BRANDS COMPANY,4686,Courvoisier VS Cognac,42.96,1750,54.99,2075,89142,123880.97,2026,108205.74,76588.74,3724.35,19063.74,17.61804873,0.976385542,1.213858114
12546,JIM BEAM BRANDS COMPANY,4410,Cruzan Mango Flavored Rum,7.93,750,9.99,11240,89133.2,123880.97,11304,113891.96,66591.9,8904.17,24758.76,21.73881282,1.00569395,1.277772592
9165,ULTRA BEVERAGE COMPANY LLP,24829,Cecchi Chianti Classico,7.53,750,11.99,11824,89034.72,68054.7,11502,133815.98,62216.02,1281.95,44781.26,33.46480742,0.972767253,1.502964012
8112,MOET HENNESSY USA INC,39523,Cloudy Bay Svgn Bl Marlboro,15.53,750,22.99,5728,88955.84,48347.26,5508,132992.92,52307.43,615.05,44037.08,33.11234914,0.961592179,1.495044283
7245,PROXIMO SPIRITS INC.,2951,Old Bushmills Irish Whiskey,28.78,1750,39.99,3087,88843.86,38994.78,3135,129456.65,100769.63,5763.89,40612.79,31.37172946,1.015549077,1.457125456
2242,DELICATO VINEYARDS INC,42462,Gnarly Head Old Vine Znfdl,6.89,750,9.99,12885,88777.65,7982.65,12592,125609.92,58040.13,1403.37,36832.27,29.3227398,0.97726038,1.414882237
7239,REMY COINTREAU USA INC,2280,The Botanist Islay Dry Gin,27.4,750,36.99,3239,88748.6,16978.67,2662,99373.38,78847.89,2098.84,10624.78,10.69177681,0.821858598,1.119717719
1392,CONSTELLATION BRANDS INC,38850,Ravenswood Vntrs Bl Cab Svgn,4.65,750,7.99,19075,88698.75,79528.99,19025,143317.35,49594.87,2126.93,54618.6,38.11024974,0.997378768,1.615776434
12546,JIM BEAM BRANDS COMPANY,8673,Skinnygirl Margarita,7.87,750,9.99,11267,88671.29,123880.97,11256,122034.44,64475.4,8864.37,33363.15,27.33912656,0.999023698,1.376256509
480,BACARDI USA INC,2628,Dewars Special RSV 12-Yr,23.43,750,31.99,3780,88565.4,89286.27,3547,112630.53,89305.95,2796.87,24065.13,21.3664359,0.938359788,1.271721575
8004,SAZERAC CO INC,3218,Firefly Sweet Tea Vodka,10.23,750,12.99,8654,88530.42,50293.62,8548,114734.52,71182.96,6734.35,26204.1,22.83889801,0.987751329,1.295989785
9819,TREASURY WINE ESTATES,19636,Ch St Jean Chard Sonoma Cst,7.99,750,11.99,11075,88489.25,14836.57,9905,118760.95,50310.04,1105.46,30271.7,25.48960748,0.894356659,1.342094661
1587,VINEYARD BRANDS INC,7302,Marques de Caceres Rioja Re,6.42,750,10.99,13777,88448.34,6070.09,13085,147412.15,63660.19,1459.61,58963.81,39.99928771,0.949771358,1.666646881
8352,LUXCO INC,2132,Lord Calvert Canadian,10.23,1750,12.99,8644,88428.12,10261.6,8581,113264.19,44604.24,15766.71,24836.07,21.92755716,0.992711708,1.280861676
660,SAZERAC NORTH AMERICA INC.,4626,Meukow VS Cognac,11.19,750,24.49,7898,88378.62,17932.33,7521,131418.29,56810.57,5924.01,43039.67,32.75013699,0.952266397,1.486991877
9552,M S WALKER INC,12213,Evodia Garnacha Old Vine,5.29,750,8.99,16697,88327.13,55551.82,16723,145025.77,58239.72,1867.85,56698.64,39.09556212,1.001557166,1.641916476
3664,WILLIAM GRANT & SONS INC,1228,Glenfiddich Ancient RSV 18,69.76,750,95.99,1263,88106.88,30234.42,1130,112533.7,92510.72,891.23,24426.82,21.70622667,0.89469517,1.277240778
17035,PERNOD RICARD USA,859,Beefeater Gin,17.29,1000,22.99,5093,88057.97,123780.22,5006,116057.94,77401.63,5256.3,27999.97,24.12585472,0.98291773,1.317972013
4425,MARTIGNETTI COMPANIES,24996,Lincourt Steel Chard,6.84,750,9.99,12861,87969.24,144929.24,11985,119730.15,43186.77,1339.68,31760.91,26.52707777,0.931887101,1.361045634
3252,E & J GALLO WINERY,2152,New Amsterdam Gin,7.19,750,9.99,12182,87588.58,61966.91,12030,128623.7,86822.93,9478.42,41035.12,31.90323401,0.987522574,1.468498519
660,SAZERAC NORTH AMERICA INC.,8370,Chi Chi's Margarita,5.71,1750,8.99,15333,87551.43,17932.33,15303,130515.97,68211.88,28118.53,42964.54,32.91899068,0.998043436,1.490734874
3960,DIAGEO NORTH AMERICA INC,3609,Smirnoff Vanilla Vodka,0.74,50,0.99,118058,87362.92,257032.07,116244,115081.56,16830.99,6090.3,27718.64,24.08608295,0.984634671,1.317281519
480,BACARDI USA INC,4229,Bacardi Black,14.7,1750,19.99,5924,87082.8,89286.27,6010,128167.9,88506.71,11047.4,41085.1,32.05568633,1.014517218,1.471793511
660,SAZERAC NORTH AMERICA INC.,1479,Ten High,9.22,1750,11.99,9433,86972.26,17932.33,9380,131845.7,71548.14,17236.21,44873.44,34.03481494,0.994381427,1.515951178
1128,BROWN-FORMAN CORP,63,Herradura Reposado Tequila,30.46,750,38.99,2855,86963.3,68601.68,2778,112249.22,88553.1,2190.45,25285.92,22.5265886,0.973029772,1.290765415
17035,PERNOD RICARD USA,3085,Absolut Mini Bar 5/50mls,4.72,50,5.99,18419,86937.68,123780.22,17072,123563.28,57312.26,878.97,36625.6,29.64116848,0.926868994,1.421285684
17035,PERNOD RICARD USA,3591,Absolut Vanilia,13.48,750,16.99,6448,86919.04,123780.22,6334,112144.66,76639.8,4992.09,25225.62,22.49382182,0.982320099,1.290219726
12546,JIM BEAM BRANDS COMPANY,2696,McClelland Highland Sgl Malt,25.19,1750,37.99,3439,86628.41,123880.97,3420,125199.8,99736.79,6287.9,38571.39,30.8078687,0.994475138,1.445251044
4425,MARTIGNETTI COMPANIES,12994,Acrobat Pnt Gris Oregon,8.16,750,12.99,10611,86585.76,144929.24,9170,110585.18,46819.68,1023.41,23999.42,21.70220277,0.864197531,1.277175138
9165,ULTRA BEVERAGE COMPANY LLP,3762,Patron Silver Tequila,4.61,50,5.99,18781,86580.41,68054.7,18313,109694.87,48123.66,944.29,23114.46,21.07159615,0.975081199,1.266971016
7153,PINE STATE TRADING CO,6499,Kinky Liqueur,12.68,750,17.99,6812,86376.16,15884.82,6986,122534.14,88311.68,5505.87,36157.98,29.50849453,1.025543159,1.418610644
12546,JIM BEAM BRANDS COMPANY,2986,Hibiki Harmony Japan Whiskey,51.96,750,65.99,1659,86201.64,123880.97,1557,106710.43,73637.26,1227.03,20508.79,19.21910539,0.938517179,1.237916471
3924,HEAVEN HILL DISTILLERIES,1178,Evan Williams Black Label B,7.83,750,10.99,10989,86043.87,14069.87,10892,120257.58,84328.24,8583.25,34213.71,28.45035631,0.991172991,1.397630999
17035,PERNOD RICARD USA,1876,Midleton Rare Irish Whiskey,106.61,750,149.99,806,85927.66,123780.22,578,88949.22,76365.04,456.06,3021.56,3.396949406,0.717121588,1.035163997
1590,DIAGEO CHATEAU ESTATE WINES,12147,Sterling Vintners CA Meritag,5.26,750,7.95,16333,85911.58,7259.75,14830,127382.74,51165.42,1656.36,41471.16,32.55634162,0.907977714,1.482719093
12546,JIM BEAM BRANDS COMPANY,5725,DeKuyper Sour Apple Pucker,7.4,750,10.99,11600,85840,123880.97,11478,119485.22,79422.83,9042.88,33645.22,28.15847851,0.989482759,1.391952703
7245,PROXIMO SPIRITS INC.,2952,Old Bushmills,14.61,750,18.99,5875,85833.75,38994.78,5782,132962.18,103538.05,4558.62,47128.43,35.44498894,0.984170213,1.549066422
9552,M S WALKER INC,3768,Jenkins Vodka,3.62,750,5.99,23649,85609.38,55551.82,23532,126608.68,50898.27,18530.65,40999.3,32.38269288,0.995052645,1.478911306
3960,DIAGEO NORTH AMERICA INC,4241,Capt Morgan Spiced Rum,1.47,50,1.99,58226,85592.22,257032.07,59308,118022.92,26584.41,3096.97,32430.7,27.47830676,1.018582764,1.378897755
8673,STE MICHELLE WINE ESTATES,42766,14 Hands Merlot Wash,5.85,750,8.95,14624,85550.4,15919.7,14989,148235.97,62541.83,1672.92,62685.57,42.28769171,1.024958972,1.732732635
8352,LUXCO INC,1692,Everclear 151,13.4,750,19.99,6382,85518.8,10261.6,6318,120334.32,89709.97,4980.06,34815.52,28.93232787,0.989971796,1.407109548
1392,CONSTELLATION BRANDS INC,3133,Svedka Strwbry Lemonad Vodka,8.79,750,10.99,9724,85473.96,79528.99,10307,116701.93,69941.41,8119.86,31227.97,26.75874341,1.059954751,1.365350687
6359,OLE SMOKY DISTILLERY LLC,1738,Ole Smoky Moonshine Cherries,14.72,750,19.99,5806,85464.32,1922,5732,109616.68,78397.15,4517.96,24152.36,22.03347155,0.987254564,1.282601675
3252,E & J GALLO WINERY,23273,Apothic Crush,6.45,750,9.99,13196,85114.2,61966.91,11932,108390.36,38600.39,1334.44,23276.16,21.47438204,0.904213398,1.273469762
2242,DELICATO VINEYARDS INC,13708,Bota Box Cab Svgn,11.33,3000,17.99,7507,85054.31,7982.65,7493,138489.07,101689.14,3371.85,53434.76,38.58409909,0.998135074,1.628242825
4425,MARTIGNETTI COMPANIES,8737,Freixenet Cordon Negro Brut,7.14,750,10.99,11861,84687.54,144929.24,11624,142631.76,53821.17,1298.16,57944.22,40.62504732,0.980018548,1.684211869
9552,M S WALKER INC,3643,Caldwells Vodka,7.71,1750,12.49,10921,84200.91,55551.82,11031,111508.19,35849.68,20267.84,27307.28,24.48903529,1.010072338,1.324310984
8664,"STOLI GROUP,(USA) LLC",3936,Stolichnaya,15.21,1000,22.99,5534,84172.14,18544.49,5380,127286.2,64442.76,5649,43114.06,33.87174729,0.972172027,1.512212948
1590,DIAGEO CHATEAU ESTATE WINES,32908,Sterling Vintners Cltn Merlo,6.55,750,9.95,12832,84049.6,7259.75,13263,143443.83,63464.35,1479.4,59394.23,41.40591478,1.033587905,1.706656903
12546,JIM BEAM BRANDS COMPANY,4201,Calico Jack Silver Rum,9.55,1750,12.99,8786,83906.3,123880.97,9031,118800.69,78179.61,16597.8,34894.39,29.37221156,1.027885272,1.415873302
12546,JIM BEAM BRANDS COMPANY,1377,Jim Beam Honey,19.19,1750,23.99,4370,83860.3,123880.97,3765,92406.35,69157.86,6921.14,8546.05,9.248336289,0.861556064,1.101908173
7245,PROXIMO SPIRITS INC.,1875,Bushmills Black Bush,20.71,750,31.99,4043,83730.53,38994.78,4054,112926.46,85714.35,3196.21,29195.93,25.85393184,1.002720752,1.348689182
8004,SAZERAC CO INC,5828,Ryans Irish Cream,6.61,750,8.99,12658,83669.38,50293.62,13458,122713.42,77291.56,10601.78,39044.04,31.81725357,1.063201138,1.466646699
9165,ULTRA BEVERAGE COMPANY LLP,26732,Bonterra Cab Svgn Organic,6.79,750,13.99,12319,83646.01,68054.7,10877,142666.23,65887.25,1212.34,59020.22,41.36943971,0.882945044,1.705595162
8892,TRINCHERO FAMILY ESTATES,24805,Menage a Trois Silk Soft Red,6.84,750,12.99,12220,83584.8,11595.97,11991,133363.09,44314.44,1341.9,49778.29,37.32538741,0.981260229,1.595542371
9819,TREASURY WINE ESTATES,17865,Ch St Jean Pnt Nr,6.09,750,9.99,13691,83378.19,14836.57,13507,140286.33,59492.77,1507.79,56908.14,40.56570587,0.986560514,1.682530288
8004,SAZERAC CO INC,5212,Margaritaville Silver,15.38,1750,19.99,5420,83359.6,50293.62,5341,109308.59,79223.43,9817.41,25948.99,23.73920476,0.985424354,1.311289761
8112,MOET HENNESSY USA INC,4664,Hennessy Black Cognac,27.77,750,35.99,2984,82865.68,48347.26,2925,107263.75,67154.75,2305.34,24398.07,22.74586708,0.980227882,1.294429129
12546,JIM BEAM BRANDS COMPANY,5232,DeKuyper Buttershots Schnaps,10.71,1750,16.99,7736,82852.56,123880.97,7649,120658.51,88084.28,14059.7,37805.95,31.3330158,0.988753878,1.456303945
3664,WILLIAM GRANT & SONS INC,2992,Hudson Baby Bourbon Whiskey,35.96,750,49.99,2302,82779.92,30234.42,2080,103979.2,83633.27,1640.35,21199.28,20.38800068,0.90356212,1.256092057
3960,DIAGEO NORTH AMERICA INC,2908,Buchanans Deluxe 18 Yr Old,53.84,750,69.99,1536,82698.24,257032.07,1357,93502.43,49244.85,1068.73,10804.19,11.55498312,0.883463542,1.130645948
4425,MARTIGNETTI COMPANIES,438,Licor 43 Vanilla Liqueur,12.77,750,19.99,6455,82430.35,144929.24,6381,119411.19,77743.54,5027.71,36980.84,30.9693254,0.988536019,1.44863136
